ISIN,Cap,Bewertungstag,Emittent,Brief,Geld
DE000PZ3VQT7,9950.0,2019-12-20,BNP Paribas Emissions- und Handelsges.,99.5,99.49
DE000PZ3VQS9,9900.0,2019-12-20,BNP Paribas Emissions- und Handelsges.,99.0,98.99
DE000PZ3VQR1,9850.0,2019-12-20,BNP Paribas Emissions- und Handelsges.,98.5,98.49
DE000PZ3VQQ3,11050.0,2019-11-15,BNP Paribas Emissions- und Handelsges.,110.48,110.47
DE000PZ3VQP5,10950.0,2019-11-15,BNP Paribas Emissions- und Handelsges.,109.49,109.48
DE000PZ3VQN0,10900.0,2019-11-15,BNP Paribas Emissions- und Handelsges.,108.99,108.98
DE000PZ3VQM2,10850.0,2019-11-15,BNP Paribas Emissions- und Handelsges.,108.5,108.49
DE000PZ3VQL4,10750.0,2019-11-15,BNP Paribas Emissions- und Handelsges.,107.5,107.49
DE000PZ3VQK6,10700.0,2019-11-15,BNP Paribas Emissions- und Handelsges.,107.0,106.99
DE000PZ3VQJ8,10650.0,2019-11-15,BNP Paribas Emissions- und Handelsges.,106.5,106.49
DE000PZ3VQH2,10550.0,2019-11-15,BNP Paribas Emissions- und Handelsges.,105.5,105.49
DE000PZ3VQG4,10450.0,2019-11-15,BNP Paribas Emissions- und Handelsges.,104.5,104.49
DE000PZ3VQF6,10400.0,2019-11-15,BNP Paribas Emissions- und Handelsges.,104.0,103.99
DE000PZ3VQE9,10350.0,2019-11-15,BNP Paribas Emissions- und Handelsges.,103.5,103.49
DE000PZ3VQD1,10300.0,2019-11-15,BNP Paribas Emissions- und Handelsges.,103.0,102.99
DE000PZ3VQC3,10250.0,2019-11-15,BNP Paribas Emissions- und Handelsges.,102.5,102.49
DE000PZ3VQB5,10200.0,2019-11-15,BNP Paribas Emissions- und Handelsges.,102.0,101.99
DE000PZ3VQA7,10150.0,2019-11-15,BNP Paribas Emissions- und Handelsges.,101.5,101.49
DE000PZ3VQ93,11100.0,2019-12-20,BNP Paribas Emissions- und Handelsges.,110.75,110.74
DE000PZ3VQ85,11050.0,2019-12-20,BNP Paribas Emissions- und Handelsges.,110.27,110.26
DE000PZ3VQ77,10950.0,2019-12-20,BNP Paribas Emissions- und Handelsges.,109.31,109.3
DE000PZ3VQ69,10900.0,2019-12-20,BNP Paribas Emissions- und Handelsges.,108.83,108.82
DE000PZ3VQ51,10850.0,2019-12-20,BNP Paribas Emissions- und Handelsges.,108.34,108.33
DE000PZ3VQ44,10750.0,2019-12-20,BNP Paribas Emissions- und Handelsges.,107.38,107.37
DE000PZ3VQ36,10700.0,2019-12-20,BNP Paribas Emissions- und Handelsges.,106.89,106.88
DE000PZ3VQ28,10650.0,2019-12-20,BNP Paribas Emissions- und Handelsges.,106.4,106.39
DE000PZ3VQ10,10550.0,2019-12-20,BNP Paribas Emissions- und Handelsges.,105.42,105.41
DE000PZ3VQ02,10450.0,2019-12-20,BNP Paribas Emissions- und Handelsges.,104.45,104.44
DE000PZ3VPZ6,10750.0,2019-10-18,BNP Paribas Emissions- und Handelsges.,107.5,107.49
DE000PZ3VPY9,10700.0,2019-10-18,BNP Paribas Emissions- und Handelsges.,107.0,106.99
DE000PZ3VPX1,10650.0,2019-10-18,BNP Paribas Emissions- und Handelsges.,106.5,106.49
