ISIN,ausstiegskosten,bezugsverhaeltnis,einstiegskosten,erstelldatum,faelligkeitsdatum,gesamtkosten_0,mittleres_szenario_0,relative_gesamtkosten_0,risikoklasse,gesamtkosten_1,mittleres_szenario_1,relative_gesamtkosten_1,gesamtkosten_2,mittleres_szenario_2,relative_gesamtkosten_2
DE000CJ2QPQ2,"0,00","0,01","0,02",19. Juli 2019,22. November 2019,"2,26","10.128,50","0,02",3,,,,,,
DE000CJ2QPR0,"0,00","0,01","0,02",11. September 2019,22. November 2019,"2,29","10.070,67","0,02",3,,,,,,
DE000CJ2QPS8,"0,00","0,01","0,01",17. September 2019,22. November 2019,"1,47","10.063,28","0,01",3,,,,,,
DE000CJ2QPT6,"0,00","0,01","0,01",24. September 2019,22. November 2019,"1,23","10.062,12","0,01",3,,,,,,
DE000CJ2QPU4,"0,00","0,01","0,01",1. Oktober 2019,22. November 2019,"1,18","10.051,34","0,01",3,,,,,,
DE000CJ2QPV2,"0,00","0,01","0,02",8. Oktober 2019,22. November 2019,"1,69","10.094,86","0,02",3,,,,,,
DE000CJ2QPW0,"0,00","0,01","0,01",15. Oktober 2019,22. November 2019,"0,94","10.030,13","0,01",3,,,,,,
DE000CJ2QPX8,"0,00","0,01","0,04",20. Februar 2019,22. November 2019,"3,91","10.491,04","0,04",4,,,,,,
DE000CJ2QPY6,"0,00","0,01","0,04",20. Februar 2019,22. November 2019,"3,68","10.469,79","0,04",4,,,,,,
DE000CJ2QPZ3,"0,00","0,01","0,04",20. Februar 2019,22. November 2019,"3,48","10.449,66","0,04",4,,,,,,
DE000CJ2QQ02,"0,00","0,01","0,04",20. Februar 2019,22. November 2019,"4,21","10.127,84","0,04",4,,,,,,
DE000CJ2QQ10,"0,00","0,01","0,04",20. Februar 2019,22. November 2019,"4,12","10.126,06","0,04",4,,,,,,
DE000CJ2QQ28,"0,00","0,01","0,04",20. Februar 2019,22. November 2019,"4,18","10.124,27","0,04",4,,,,,,
DE000CJ2QQ36,"0,00","0,01","0,04",20. Februar 2019,22. November 2019,"3,57","10.123,30","0,04",4,,,,,,
DE000CJ2QQ44,"0,00","0,01","0,04",20. Februar 2019,22. November 2019,"3,67","10.121,75","0,04",4,,,,,,
DE000CJ2QQ51,"0,00","0,01","0,04",20. Februar 2019,22. November 2019,"4,23","10.119,85","0,04",4,,,,,,
DE000CJ2QQ69,"0,00","0,01","0,04",20. Februar 2019,22. November 2019,"4,06","10.118,80","0,04",4,,,,,,
