ISIN,ausstiegskosten,bezugsverhaeltnis,einstiegskosten,erstelldatum,gesamtkosten_0,relative_gesamtkosten_0,risikoklasse,gesamtkosten_1,relative_gesamtkosten_1,gesamtkosten_2,relative_gesamtkosten_2
DE000MF571L7,"0,00","0,01","0,04417",16.10.2019,"4,42","0,04417",2,,,,
DE000MF571M5,"0,00","0,01","0,04399",16.10.2019,"4,40","0,04399",2,,,,
DE000MF571N3,"0,00","0,01","0,04382",16.10.2019,"4,38","0,04382",2,,,,
DE000MF571P8,"0,00","0,01","0,04463",16.10.2019,"4,46","0,04463",3,,,,
DE000MF571Q6,"0,00","0,01","0,04445",16.10.2019,"4,45","0,04445",3,,,,
DE000MF571R4,"0,00","0,01","0,04428",16.10.2019,"4,43","0,04428",3,,,,
DE000MF571S2,"0,00","0,01","0,04412",16.10.2019,"4,41","0,04412",3,,,,
DE000MF571T0,"0,00","0,01","0,04298",16.10.2019,"4,30","0,04298",3,,,,
DE000MF571U8,"0,00","0,01","0,04379",16.10.2019,"4,38","0,04379",3,,,,
DE000MF571V6,"0,00","0,01","0,04364",16.10.2019,"4,36","0,04364",3,,,,
DE000MF571W4,"0,00","0,01","0,04348",16.10.2019,"4,35","0,04348",3,,,,
DE000MF571X2,"0,00","0,01","0,04333",16.10.2019,"4,33","0,04333",3,,,,
DE000MF571Y0,"0,00","0,01","0,04318",16.10.2019,"4,32","0,04318",3,,,,
DE000MF571Z7,"0,00","0,01","0,04304",16.10.2019,"4,30","0,04304",3,,,,
DE000MF57209,"0,00","0,01","0,04291",16.10.2019,"4,29","0,04291",3,,,,
DE000MF57217,"0,00","0,01","0,04277",16.10.2019,"4,28","0,04277",3,,,,
DE000MF57225,"0,00","0,01","0,04264",16.10.2019,"4,26","0,04264",3,,,,
DE000MF57233,"0,00","0,01","0,04303",16.10.2019,"4,30","0,04303",3,,,,
DE000MF57241,"0,00","0,01","0,04146",16.10.2019,"4,15","0,04146",3,,,,
DE000MF57258,"0,00","0,01","0,04228",16.10.2019,"4,23","0,04228",4,,,,
DE000MF57266,"0,00","0,01","0,04217",16.10.2019,"4,22","0,04217",4,,,,
DE000MF57274,"0,00","0,01","0,04114",16.10.2019,"4,11","0,04114",4,,,,
DE000MF57282,"0,00","0,01","0,04104",16.10.2019,"4,10","0,04104",4,,,,
DE000MF57290,"0,00","0,01","0,04095",16.10.2019,"4,09","0,04095",4,,,,
DE000MF572A8,"0,00","0,01","0,04179",16.10.2019,"4,18","0,04179",4,,,,
DE000MF572B6,"0,00","0,01","0,04078",16.10.2019,"4,08","0,04078",4,,,,
DE000MF572C4,"0,00","0,01","0,04071",16.10.2019,"4,07","0,04071",4,,,,
DE000MF572D2,"0,00","0,01","0,04064",16.10.2019,"4,06","0,04064",4,,,,
DE000MF5ZA94,"0,00","0,01","0,0584",16.10.2019,"5,84","0,0584",1,,,,
DE000MF5ZAA4,"0,00","0,01","0,05678",16.10.2019,"5,68","0,05678",1,,,,
DE000MF5ZAB2,"0,00","0,01","0,05772",16.10.2019,"5,77","0,05772",1,,,,
DE000MF6JQT2,"0,00","0,01","0,06089",16.10.2019,"6,09","0,06089",1,,,,
DE000MF6JQU0,"0,00","0,01","0,06052",16.10.2019,"6,05","0,06052",1,,,,
DE000MF6JQV8,"0,00","0,01","0,06016",16.10.2019,"6,02","0,06016",1,,,,
DE000MF6JQW6,"0,00","0,01","0,0598",16.10.2019,"5,98","0,0598",1,,,,
DE000MF6JQX4,"0,00","0,01","0,05944",16.10.2019,"5,94","0,05944",1,,,,
DE000MF6JQY2,"0,00","0,01","0,05909",16.10.2019,"5,91","0,05909",1,,,,
